"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Incline Bench Press (Dumbbell)",,"",2,"normal",36.29,9,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Single Arm Lat Pulldown",,"",0,"normal",24.95,7,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Single Arm Lat Pulldown",,"",1,"normal",22.68,12,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Single Arm Lat Pulldown",,"",2,"normal",22.68,10,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Shoulder Press (Dumbbell)",,"",0,"normal",27.22,10,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Shoulder Press (Dumbbell)",,"",1,"normal",31.75,8,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Shoulder Press (Dumbbell)",,"",2,"normal",31.75,8,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","T Bar Row",,"",0,"normal",18.14,12,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","T Bar Row",,"",1,"normal",18.14,12,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","T Bar Row",,"",2,"normal",20.41,10,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Lateral Raise (Machine)",,"",0,"normal",24.95,20,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Lateral Raise (Machine)",,"",1,"normal",24.95,17,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Lateral Raise (Machine)",,"",2,"normal",24.95,15,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Preacher Curl (Machine)",,"",0,"normal",24.95,12,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Preacher Curl (Machine)",,"",1,"normal",24.95,8,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Preacher Curl (Machine)",,"",2,"normal",27.22,8,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Triceps Extension (Machine)",,"",0,"normal",29.48,13,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Triceps Extension (Machine)",,"",1,"normal",29.48,10,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Triceps Extension (Machine)",,"",2,"normal",29.48,8,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Crunch (Machine)",,"",0,"normal",34.02,12,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Crunch (Machine)",,"",1,"normal",34.02,12,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Crunch (Machine)",,"",2,"normal",34.02,10,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Cable Fly Crossovers",,"",0,"normal",20.41,13,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Cable Fly Crossovers",,"",1,"normal",22.68,12,,,
"Upper (2026)","12 Mar 2026, 11:34","12 Mar 2026, 13:15","","Cable Fly Crossovers",,"",2,"normal",24.95,12,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Squat (Barbell)",,"",0,"normal",61.24,8,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Squat (Barbell)",,"",1,"normal",61.24,8,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Squat (Barbell)",,"",2,"normal",61.24,8,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Romanian Deadlift (Barbell)",,"",0,"normal",61.24,10,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Romanian Deadlift (Barbell)",,"",1,"normal",63.5,10,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Romanian Deadlift (Barbell)",,"",2,"normal",65.77,10,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Leg Press (Machine)",,"",0,"normal",103.42,12,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Leg Press (Machine)",,"",1,"normal",107.96,12,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Leg Press (Machine)",,"",2,"normal",107.96,12,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Seated Leg Curl (Machine)",,"",0,"normal",52.16,15,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Seated Leg Curl (Machine)",,"",1,"normal",54.43,15,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Seated Leg Curl (Machine)",,"",2,"normal",54.43,12,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Seated Calf Raise",,"",0,"normal",45.36,15,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Seated Calf Raise",,"",1,"normal",45.36,15,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Seated Calf Raise",,"",2,"normal",47.63,15,,,
"Leg (2026)","10 Mar 2026, 11:40","10 Mar 2026, 12:42","","Seated Calf Raise",,"",3,"normal",47.63,15,,,
"Pull (2026)","9 Mar 2026, 12:27","9 Mar 2026, 14:09","","Pull Up (Assisted)",,"",0,"normal",13.61,4,,,
"Pull (2026)","9 Mar 2026, 12:27","9 Mar 2026, 14:09","","Pull Up (Assisted)",,"",1,"normal",27.22,8,,,
"Pull (2026)","9 Mar 2026, 12:27","9 Mar 2026, 14:09","","Pull Up (Assisted)",,"",2,"normal",27.22,6,,,
"Pull (2026)","9 Mar 2026, 12:27","9 Mar 2026, 14:09","","Lat Pulldown (Cable)",,"",0,"normal",45.36,10,,,
"Pull (2026)","9 Mar 2026, 12:27","9 Mar 2026, 14:09","","Lat Pulldown (Cable)",,"",1,"normal",47.63,10,,,
"Pull (2026)","9 Mar 2026, 12:27","9 Mar 2026, 14:09","","Lat Pulldown (Cable)",,"",2,"normal",47.63,9,,,
"Pull (2026)","9 Mar 2026, 12:27","9 Mar 2026, 14:09","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",47.63,10,,,
